name,url,price,country,region,origin_category,total_score,cupper_correction,cupping_dry_fragrance,cupping_wet_aroma,cupping_brightness,cupping_flavor,cupping_body,cupping_finish,cupping_sweetness,cupping_clean_cup,cupping_complexity,cupping_uniformity,flavor_floral,flavor_honey,flavor_sugars,flavor_caramel,flavor_fruits,flavor_citrus,flavor_berry,flavor_cocoa,flavor_nuts,flavor_rustic,flavor_spice,flavor_flavor_body,process_method,cultivar,cultivar_detail,farm_gate,processing,drying_method,arrival_date,lot_size,bag_size,packaging,grade,appearance,roast_recommendations,type,recommended_for_espresso,short_description,full_cupping_notes,farm_notes,watchlist_match,watchlist_farm,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,watchlist_url
Brazil Dry Process Donésio Silvério,https://www.sweetmarias.com/brazil-dry-process-donesio-silverio-8538.html,$9.50,Brazil,Minas Geraís,South America,86.2,3.5,8.2,8.4,7.9,8.3,8.8,8,8.3,8.4,8.4,8,0,0,3,2,1,0,0,4.5,4,2,0,4,Dry Process (Natural),"Bourbon Types, Modern Hybrids",,Yes,Dry Process (Natural),Patio Sun-Dried and Mechanical Dryer,November 2025 Arrival,14,60 KG,GrainPro Liner,Estate,".8 d/300gr, 15+ Screen",City+ to Full City+,Farm Gate,Yes,"Creamy Brazil cup, cocoa and nut toned, with bittersweetness that will pair nicely with milk. Notes of sorghum syrup, walnut, dried fruit hint, cedar smoke in the long finish. City+ to Full City+. Good for espresso.","Savory-sweet notes like toffee peanut are released when grinding the coffee, along with hints of rustic dried date pieces. There's more of a bittersweet quality in the wet aroma, with a walnut note, and very faint cooked fruit accents. I found the cup sweetness pretty convincing, with bittering aspects on the periphery, and surprising fruit and acidity considering origin. This should be taken in context of the average bittersweet/nutty Brazilian coffee. It's not a ""fruity"" coffee, nor do I consider it ""bright""! That said, what starts off as cocoa and nut toned, cools to interesting accents of dried apricot and fig, with notes of sorghum, and hazelnut. Full City roasts round off any acidic impression to a much more two-dimensional, bittersweet/creamy cup, and one that pairs well with milk. It's thick and chocolaty, very lightly accented by a prune note, with some cedar smoke in the long finish.","Donésio Silvério's farm is located in Minas Geraís' Southern region, situated in the rolling Mantiqueira de Minas mountainside. While we haven't visited his farm yet, it's called Sitio Serra dos Borges, and spans an altitude range of 1000 to 1300 meters. Farms in this region are typically planted in a mix of Bourbon and disease resistent hybrids, like Arara, Mundo Novo, Obata and others. This particular lot was dry processed, meaning the whole coffee cherries were dried with the seeds intact. In Brazil, dry process coffee is known for big round body and low acidity, and often a go-to base ingredient for blending. The climate in the area is ideal for producing naturals and this lot exemplifies. Like most Brazilian coffees the cup quality is bolstered significantly with rest after roasting. We prefer at least 48 hours!",,,,,,,
Brazil Espírito Santo Fazenda Boa Vista,https://www.sweetmarias.com/brazil-espirito-santo-fazenda-boa-vista-8605.html,$9.45,Brazil,"Espírito Santo do Pinhal, São Paulo",South America,86.5,4,8,8.3,7.8,8.3,9,8,8.2,8,8.4,8.5,0,0,2.5,2.5,0,0,0,4,3.5,1.5,0,4,Dry Process (Natural),"Bourbon Types, Modern Hybrids","Bourbon, Mundo Novo, Catuaí, Acaiá, Bourbon",Yes,Dry Process (Natural),"Patio Sun Dried, and Mechanical Dryer",February 2026 Arrival,52,60 KG,GrainPro Liner,Estate,".8 d/300gr, 15+ Screen - we saw a couple partial quakers in 200g roasted coffee",City+ to Full City+,Farm Gate,Yes,"Bodied Brazil coffee, milky texture conveys bittersweet flavors and creamy nut tones. Dark drinking chocolate, nougat, raw cashew, walnut, dark chocolate almond bark, low acidity. City+ to Full City+. Good for espresso.","The fragrance and. aroma had a familiar malty sweetness for me, like molasses brown bread, accented with natural cocoa and carob, brewers yeast, and peanut cookie. This is a bodied Brazil coffee, with lactic mouthfeel that's almost milky in texture, helping to convey bittersweet flavors and creamy nut tones. My Full City roast brought out flavors of dark drinking chocolate, with mild sweetness that hinted at nougat. The coffee cooled to notes of raw cashew, fading to walnut, dark chocolate almond bark, and bittering baking cocoa in the long finish. Full City pulls an excellent espresso too, and I recommend letting it rest for at least 5 days post-roast. I pulled shots at 7 days rest - 18g in/21g out over 28 seconds - and found loads of bittering dark cocoa, cacao nibs, with a sweet-savory hint of Tamari glazed nuts. A 1:1 blend with Sumatra Giling Basah Aceh Pak Muhtar was very nice, with a tad more sweetness to the shot, flourless torte, along with complex aroma that includes black pepper, and pipe tobacco in the long finish.","This coffee is from Fazenda Boa Vista in the Mogiana growing region, an area that has become synonymous with high quality Brazilian coffees through the years. The farm dates back to 1890, however the reins were handed to Rubens Correa de Cunha Junior in 2019. At that time, he took over the day to day management and Rubens focused his efforts on making major farm renovations, including replanting new varieties, and improving the milling facilities. The farm sits at 1200 meters above sea level, and is currently planted in Bourbon, Mundo Novo, Catuaí, and Acaiá. This is a dry process coffee, meaning the whole coffee cherries are laid to dry with the seeds intact. In addition to dry process and pulp natural processes, Rubens is experimenting with anaerobic and other types of fermentation.",,,,,,,
Brazil Machado Recanto do Engenho,https://www.sweetmarias.com/brazil-machado-recanto-do-engenho-8608.html,$9.40,Brazil,"Machado, Minas Geraís",South America,86.8,3,8.2,8.3,8.2,8.4,9.2,8,8.2,7.8,9,8.5,0,0,3,3,1.5,0,0,4.5,4,3.5,0,4,Dry Process (Natural),"Bourbon Types, Modern Hybrids",Catuaí,Yes,Dry Process (Natural),"Patio Sun-Dried, and Mechanical Dryer",February 2026 Arrival,109,60 KG,GrainPro Liner,Estate 16 Up,".6 d/300gr, 16+ Screen",City+ to Full City+,Farm Gate,Yes,"Great at medium to dark roast levels. Deep-toned flavors and umami accents, bittersweet chocolate, toasted sesame, walnut, hint of fruit leather, milky body. City+ to Full City+. Good for espresso.","From dry fragrance to the wet aroma, there's a sweet nutty side to the background bittersweetness that came through in both our City+ and medium Full City roast levels. I sensed Thai peanut sauce, nut brittle, with notes of brown ale, with dense, dark, rustic cocoa behind it. My favorite roast for brewing was Full City, though a slightly lighter level reveals more of the umami characteristics and a hint of acidity, which I think some will really enjoy. Full City roasts show dark-toned chocolates, with accents of toasted sesame and walnut notes that mark the aroma. There's also a rustic fruit leather accent that's slight, yet provides a nice contrasting note to the roast tones. I enjoyed the espresso shots I pulled too, and found a 1:1 ratio with wet hulled coffee makes an outstanding chocolaty shot (here's the one I tested for this review). The texture feels thick, like heavy whipping cream, with prominent bittersweet dark chocolate, baking cocoa bittering, and hints of leather and vanilla bean in the aromatics.","This creamy Brazilian coffee comes from Recanto do Engenho, a farm in the city of Machado, Minas Geraís. The farm has been in the Moreira family for two generations, and currently under the care of Adilson Moreira Soares and his family. The city's name, ""Machado"", translates to ""axe"" in Portuguese, and likely stems from the long agricultural history in this region, particularly coffee production. Recanto do Engenho sits at 1150 meters above sea level, and is planted in a mix of varieties that are harvested together. This is a dry process coffee, meaning the whole coffee cherries are picked and dried before removing the outer fruit. While this method is often associated with more fruit-forward flavors, that's not always the case. Especially in Brazil. Adilson's coffee brews big body and bittersweetness, with background umami flavors, and hint of fruit. We found that it worked excellent in the mid-to-dark roast range, and worked quite well as espresso and brewed coffee. All coffees benefit from resting, but particularly coffee from Brazil. There can be a harshness in the freshly roasted coffee, that tends to mellow out after 48 to 72 hours time. I let my espresso roast rest for 5 days before testing (but not necessary).",,,,,,,
Brazil Patrocinio Fazenda Paraiso,https://www.sweetmarias.com/brazil-patrocinio-fazenda-paraiso-8607.html,$9.50,Brazil,"Carmo do Paranaiba, Patrocinio, Minas Gerais",South America,86,2,8,8.3,8.3,8.5,9,8.2,8.5,8,8.7,8.5,0,1,2,3,2,0,0,4.5,4,2,0,4,Dry Process (Natural),Modern Hybrids,"Catuaí, Paraiso 2",Yes,Dry Process (Natural),Patio Sun-Dried,February 2026 Arrival,35,60 KG,GrainPro Liner,Estate 16 Up,".6 d/300gr, 15+ Screen",City+ to Full City+,Farm Gate,Yes,"Roast intensity pairs well with heavy body and mildly present acidity. Rustic dark chocolate, dried cherry, marzipan, creamy mouthfeel, with accents of tamarind and roasted peanut. City+ to Full City+. Good for espresso.","The fragrance of the dry grounds had savory-sweet notes of chocolate-sesame halva, toffee-coated peanut, with hints of molasses, and subtle fruits. The wet aroma has an interesting fruit and nut scent to it, and pulls at bittersweet notes, cocoa powder, and roasted cacao nibs. At City+, the cup offers very nice roast intensity that pairs well with heavy body, interesting fruit tones, and mildly present acidity. It has a sort of almond croissant profile, with marzipan and cocoa, slivered almonds, and a hint of dried cherry. A flavor of rustic dark chocolate gains momentum in the cooling cup, along with mild accents of fermented fruit, dried tamarind and roasted peanut. At Full City, it has the kind of bittersweet low tones and creamy mouthfeel that are well suited for milk drinks too. I pulled a shot with just two days rest and it presented bittersweet tones of burnt caramel and dark cocoa, with creamy mouthfeel permeated by hints of vanilla and roasted peanut in the aftertaste.","Fazenda Paraiso is a farm operated by Amarildo Jose Borges, and his wife Rosemary. The farm is located in Carmo do Paranaiba, and we had the pleasure of visiting them this past August. Paraiso sits at a modest 1050 meters above sea level, and is planted in Catuaí and Paraiso varieties. The farm is 208 hectares total, 116 of which are planted in coffee. Much of the rest is either forest reserve, or pasture for their 1000 head of cows. Their family are real animal lovers, and in fact, they currently have 30 dogs, and just about as many horses too! They are actually part of a local horse board, and Amarildo's family have a competitive team of riders who have brought home many medals that they proudly display at the farm (you can see those medals in the second photo). The care and attention they give farm, mill, and all of the animals was very apparent. He's also very resourceful, and creates his own organic fertilizer from coffee husk and cow manure. The coffee is both mechanically and hand-harvested at the farm, and typically dried for 10-12 days on cement patios, though the final strip-pick is finished in mechanical dryers to remove detritus that comes from that type of harvesting method. They mostly processing dry process coffee at Paraiso, though they have been experimenting with small batches of anaerobic too.",,,,,,,
Brazil Pulp Natural Condado São José,https://www.sweetmarias.com/brazil-pulp-natural-condado-sao-jose-8542.html,$9.35,Brazil,"Bacaio, Santa Rita do Sacupaí, Mantiqueira, Minas Gerais",South America,85.8,3.5,8,8.4,7.9,8.2,8.7,8.2,8.2,8.2,8,8.5,0,2,3,2,0,0,0,3.5,3,1.5,0,3.5,Pulp Natural,"Bourbon Types, Modern Hybrids","Mundo Novo, Acaiá, Catuaí Amarelo, Arara, Catucaí",Yes,Pulp Natural,Patio Sun-Dried & Mechanical,November 2025 Arrival,50,60 KG,GrainPro Liner,Estate,".8 d/300gr, 15+ Screen - we saw a couple partial quakers in 300g roasted coffee",City+ to Full City+,Farm Gate,Yes,"Pleasantly simple Brazil, bittersweetness accented by notes of unrefined sugar, honey-nut, malted grain, sesame cookie, almond milk, and cocoa. Great coffee for milk drinks. City+ to Full City+. Good for espresso.","Aromatically speaking, this lot from Condado had an understated raw sugar sweetness at City+ roast level, malted noted, sweet breads baked with nuts, and bittersweet at the edges. There was a sweet nuttiness in the steam after pouring hot water on the grounds, like peanut butter cookie, and cocoa nut bar. Brewing the coffee produced a mild mix of unrefined sugar and nutty accents, with cocoa bittersweetness rounding out the cup. It's a pleasantly simple coffee, tied to bittersweetness, with subtle top note hints. Our City+ brew had cocoa tones accented by honey-nut, malted grain, sesame cookie, and almond milk. Full City brought out deeper cocoa flavors, a note of puffed rice, and heavier body. I was really happy with how well the Full City roast worked as espresso. The profile was bittersweet and creamy, hazelnut chocolate up front that faded to cocoa powder and Macadamia nuts in the aftertaste. It's the type of profile that would work wonders as a cappuccino too.","This lot is from Roberto Machado (""Beto""), who runs the 150 hectare farm, Fazenda São José Condado. The farm has stood much longer than the Junqueira family has owned it, dating back to the mid 1800's when the first coffee was planted and the original farm house was built. The farm is located in Bacaio, just outside of Santa Rita do Sacupaí in the Mantiqueira Region of Minas Gerais. The land at Sitio São José is actually 508 hectares, much of which is still natural forest. It requires a fairly large team to manage just the part planted in coffee, and there are 22 permanent employees year round, as well as 100 seasonal workers who join for the harvest. The farm enjoys a modest altitude of 1200 meters above sea level, and is currently planted in Mundo Novo, Acaiá, Catuaí Amarelo, Catuaí Vermelho, Arara, and Catucaí. While much of Brazil coffee farmers uses mechanical harvesters, the topography of the land, and not to mention the distance between plants, does not allow for it. Instead, they use what's called a ""hand harvester"", which looks like an inverted rake that vibrates the cherries from the branches. They then use a series of milling machinery to separate out the different grades. This lot is a pulp natural process which is about as closed to a fully washed coffee as you will get in Brazil, and quite similar to a mild honey process method in Costa Rica. The coffee cherry and much of the fruit are removed with depulping machinery, and then the seed is laid to dry with fruit mucilage still intact. Pulp naturals often possess more balanced flavors than dry process coffee, less fruited, and can still be big-bodied and lower acid coffees, making them a great choice for espresso and blending.",,,,,,,
Colombia Buesaco EA Decaf,https://www.sweetmarias.com/colombia-buesaco-ea-decaf-8572.html,$10.05,Colombia,"Buesaco, Nariño, Cauca",South America,87.8,2,8.3,8.5,8.4,8.5,8.5,8.2,8.4,8.3,8.7,10,0,0,3,0,2.5,0,0,3.5,2,0,2,3.5,EA Decaf,"Caturra Types, Modern Hybrids","Bourbon, Caturra, Variedad Colombia",No,"Wet Process (Washed), then EA Decaf",Covered Sun-Dried,January 2026 Arrival,30,70 KG,GrainPro Liner,Excelso 15+,"1+ d/300gr, 15-17 Screen  - some broken and misshaped beans due to decaffeination",City to Full CIty,Decaf,,"Convincing sweetness, mild brown sugar, bright fruit accents bring out positive acidic impression, hints of spice, dried green apple, bittering fruit skin, roast tones underneath. City to Full City.","Here's another interesting EA ""sugar cane"" decaf from Colombia that showed convincing sweetness in our roast tests, with bright fruit accents that brought out moderate acidity for decaf coffee. The grinds had a pleasant mix of raw hazelnut, and dried fruit, whereas the wet aroma showed dried apple, cinnamon, and cocoa. I found similar appeal in the brewed coffee, underlying sweet notes, accompanied by accents of fruit, and bright hints. The flavors in our City roast had aspects of mild brown sugar laced with cinnamon, tangy dried green apple, and canned pear. The finish had mouth pleasing bittering notes that brought to mind apple skin, fading to a doughy hint of bread malt in the aftertaste, but very mild compared to the rest (something we often pick up on in decaf). Full City is a more substantial cup in terms of body, bittersweetness is brought out by smoke roast undertones, though still yielding hints of malic fruits as it cool.","This decaf was sourced from small producers near Buesaco town, in Colombia's Nariño Department. Farms in this region are typically planted in Caturra and Variedad Colombia (F4 and F6 types), grown at altitudes between 1700 and 2100 meters, and each contributing lot in this batch are wet process coffees. The coffee was decaffeinated by Descafecol, in Tolima, who use sugar cane as one of their main sources for the naturally occurring chemical ethyl acetate (""EA"") needed for the process - hence the nickname ""sugar cane decaf"". We find that this type of process produces some of the better Colombian decafs we've tasted. The coloring of the beans are not quite as brown as Methylene Chloride process (""MC""), and a bit easier to judge roast coloring. It is worth noting that the roast coloring still presents a bit darker than non-decaf. You'll also see oil rise to the surface, even when roasted light, due to the degredation of the organic structure. This is typical of decaf coffee, and nothing to worry about! Most importantly, it's turned out to be a delicious coffee that I think most folks would have a hard time pegging as decaf.",,,,,,,
Colombia China Alta Jose Buitrago,https://www.sweetmarias.com/colombia-china-alta-jose-buitrago-8527.html,$9.75,Colombia,"China Alta, Tolima",South America,87.5,1.5,8.5,8.5,8.8,8.6,8.5,8.5,8.5,8.5,8.6,9,0,0,3.5,3.5,2.5,2.5,0,4,2,0,2,3.5,Wet Process (Washed),"Caturra Types, Modern Hybrids","Caturra, Variedad Colombia",Yes,Wet Process (Washed),Covered Sun-Dried,November 2025 Arrival,10,70 KG,GrainPro Liner,Excelso 15+,".5 d/300gr, 15-17 Screen",City to Full City,Farm Gate,Yes,"I found myself savoring the interplay of complex sweetness and flash of acidity that brightens the cup. Notes of brown sugar, burnt caramel, lemon, malted chocolate, cinnamon bark tea. City to Full City.","The dry fragrance and aroma smelled very nice at City+, sweetly accented with notes of turbinado raw sugar, oatmeal cookie, caramel, and golden raisin. I found myself savoring the interplay of complex sweetness and flash of acidity that brightens the cup. Notes of brown sugar, blackstrap molasses, and burnt caramel are contrasted by a vibrant hint of lemon that's quite lively, especially at these lighter roast levels. The coffee is accented by notes of almond, malted chocolate, and citrus oil as it cools, with aromatic cinnamon bark tea in the finish. Full City roasts round off the acidic snap to some degree, leaving room for tangy bittersweet flavors, and a cedar-like aromatic wood note.","Jose Buitrago is part of a small group of coffee farmers in China Alto whose coffee we've been buying for a hand full of years now. We typically bulk these coffees together in a larger ""China Alta"" blend that's been excellent. But there wasn't much coffee available to us this harvest, but thankfully we were able to secure a few lots, including this 10 bag lot from Jose. Unlike many of the well known Tolima growing regions, China Alta is not too far from Ibagué, Tolima's capitol city. But the shorter distance doesn't mean it's easy to get to, and often involves some walking when road conditions are poor during the wet season. Geraldine's farm sits around 1900 meters above sea level, and is planted in Caturra and Variedad Colombia, the latter being a disease-resistant hybrid developed in Colombia.",,,,,,,
Colombia Honey Vereda San Francisco,https://www.sweetmarias.com/colombia-honey-vereda-san-francisco-8522.html,$10.15,Colombia,"Vereda San Francisco, Aponte, Tablón de Gomez, Nariño",South America,87.8,1,8.6,8.7,8.5,8.7,9,8.6,8.7,8.5,9,8.5,0,0,4,1,3,2.5,0,4,0,1,3,4,Honey Process,"Caturra Types, Modern Hybrids","Caturra, Variedad Colombia, Typica",Yes,Honey Process,Covered Sun-Dried,November 2025 Arrival,11,70 KG,GrainPro Liner,Excelso 15+,".6 d/300gr, 15-17 Screen",City to Full City,Farm Gate,,"A nice composite of natural sugar sweetness and sticky fruit accents, with opaque body that lends to a long finish. Notes of sorghum syrup, dried date, hibiscus, citrus peel, coriander, and cocoa. City to Full City.","This harvest's Aponte honey coffees have been so impressive, with flavor profiles that vascillate between sticky fruits, and complex natural sugars. This lot from San Francisco is a nice composite of those two ends of the spectrum, starting off with sorghum syrupy sweet flavors that cools to potent accents of dried stone fruits and rindy citrus that add a moderate acidic impression. The grinds are accented by notes of date sugar, hint of dried cherry, and a bittersweet backing. The wet aroma offers indications of malted cocoa drink, prune juice, and a sappy pine note. Brewing a City+ roast, the cup had a syrupy molasses note followed by bittersweet intensity, dark cocoa that brings a pleasant bittering quality. The flavors cool to glimpses of unsulphered dried apricot and date, pulpy aspects that are a bity tangy, and orange rind. The finish has hints of hibiscus tea, soft spice notes, like coriander and clove, with wheat aspect in aroma that comes off like Belgian beer. You can develop pretty intense roast tones in this coffee, but I preferred the nuanced fruits that came at City/City+.","This honey processed coffee comes from an indigenous group in a nearby region called Aponte, just east of Buesaco town. It's a village blend, made up of coffee from the Vereda San Francisco, not far from the town square. The people of Aponte are Inga decent, a pre-Colombian ethnic group related to the Incas, their native tongue being Inga Kichwa. Aponte is located in a misty páramo region around 1900 meters above sea level and the farmers in this growing region produce mainly Caturra an Variedad Colombia, the latter being a disease resistant hybrid. What's interesting about the coffee from this region is that honey processing is the standard post harvest process method. Each producer handles their own processing at home too, which can mean quite a bit of flavor variation from one neighbor to the next. The land where the coffee is grown is owned by the community, but each producer is in charge of specific plots and can sell the coffee they produce. Honey Processing is a processing method where the coffee cherry and some of the fruit is mechanically removed, leaving behind a thin layer of fruit which is then laid out on raised beds to dry. Drying can take more than 2 weeks, the prolonged exposure to the coffee fruit causing a very subtle and slow fermentation to occur, and often imparts fruit-like flavors in the coffee itself. The fruited elements in this particular lot are tempered by hefty bittersweetness (especially when roasted to Full City and beyond!).",,,,,,,
Colombia Inzá Cresta El Hato,https://www.sweetmarias.com/colombia-inza-cresta-el-hato-8600.html,$9.10,Colombia,"Inzá, Cauca",South America,86.5,2,8.4,8.5,8.5,8.5,8.5,8.3,8.5,8.5,8.3,8.5,0,2,3.5,2.5,1.5,0,0,3.5,0,1,2,3.5,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids","Caturra, Variedad Colombia, Typica",Yes,Wet Process (Washed),Covered Sun-Dried,January 2026 Arrival,21,70 KG,GrainPro Liner,Excelso 15+,".6 d/300gr, 15+ Screen - a few partial quakers in our roast",City+ to Full City+,Farm Gate,Yes,"Crowd pleasing sweetness, with balanced acidity that can be rounded off with roast. Malt syrup, light brown sugar, dried apple, whole spices, toasted grain, and dark cocoa roast tones. City+ to Full City+. Good for espresso.","The dry fragrance has convincing smells of raw sugar, with just a hint of spice, like cinnamon bread. The wet crust lets off a panela sugar note, along with hints of caramelized sugar, and sweet baked goods. The cup shows crowd pleasing sweetness, with balanced acidity that can be rounded off with roast. Undertones of malt syrup and light brown sugar resonate in the sweetness, and a dried apple note informs both flavor and malic-type acidity. At the edges are mild top notes of whole spices, honey wheat puff cereal, and a hint of barley tea. I took one roast near Full City+ (35 degrees F of development after 1st crack), and the level of bittersweetness was intense, padded with bittering dark cocoa roast flavors, creamy dark chocolate, and hint of dried fruit. Brewed well at a wide range of roasts, and also yielded a chocolate-toned espresso shot at Full City+ that was the perfect base for a cappuccino.","We call this small-producer blend from Inzá, Cauca, ""El Hato"", which roughly translates to ""herd"", like a herd of cattle. It's the name of a steep ridge above the Paéz river in Inzá, where vertical striation has a crude representation of something like cattle...if you cross your eyes...and squint...a lot! The province of Inzá is located in Southwestern Colombia within the greater Department of Cauca. As you make the drive from La Plata to Inzá, you follow the Rio Páez, and an eventual crossing over a suspension bridge lands you on the road to the the villages whose coffees make up this blend. Like much of Colombia, Cauca is home to some very high altitude farms, many breaching the 2000 meter mark, the coffee from this lot harvested from an altitude range of about 1800 to 2100 meters. The way we make up these regional blends is by cupping several samples from the individual farms, separating out those that meet a certain cup criteria, and then blending them together. It's a great benefit to us (and not to mention the cup) having this level of quality control with our Colombian blends. This is a wet-processed coffee, most farmers using old style hand-cranked pulpers, fermenting and washing in the same tank, and then drying on covered patios or drying beds. Most farms have a healthy amount of Caturra planted, as well as some Timor hybrids (like Variedad Colombia and Tabi) in response to the major leaf rust outbreak in the 1980's.",,,,,,,
Colombia Inzá Maria Ilma,https://www.sweetmarias.com/colombia-inza-maria-ilma-8595.html,$9.85,Colombia,"Belen, Inzá",South America,89.3,1,8.7,8.8,8.8,8.8,8.4,9,9,9,8.8,9,0,3.5,4,0,2,2,0,2.5,0,0,0,3.5,Wet Process (Washed),"Caturra Types, Heirloom Types, Modern Hybrids","Caturra, Chiroso, Variedad Colombia",Yes,Wet Process (Washed),Patio Sun-Dried,January 2026 Arrival,7,70 KG,GrainPro Liner,Excelso 15+,".4 d/300gr, 15-17 Screen",City to City+,Farm Gate,,"Excellent cup clarity, with aromatic sweetness that's brightly accented by vibrant top notes, and a mouth-cleansing finish. Accents of red honey, simple syrup, bracing black tea, citrus, and apricot. City to City+.","Maria Ilma's coffee smells delicious from the grinder, mouth watering sweetness brought to mind panela type raw sugars, and fruited hints of baked apple and raisin. The sweetness in the wet aroma smelled of warm honey, very refined and well balanced, with accents of simple syrup, and pear. Roasted to City/City+, the cup sweetness was aromatic, brightly accented by an assemblage of fruit and tea-like top notes. It presented flavor aspects of red honey and simple syrup, tangy lemonade sweetened with panela/brown sugar, and bracing sweet tea. A golden apricot note brought vivid fruited brightness to the mouth-cleansing finish, and a honey note lingered in the aftertaste. This is an excellent example of the clean, complex flavors that can be found in high grown washed (wet process) Colombian coffees. Cup clarity was an aspect we all keyed in on, and a characteristic that was emphasized in subsequent pour-over brews.","María Ilma is a coffee producer from Belén village, Inzá, where her farm El Cedro is located at 1950 meters above sea level. Like so many people in this region, Doña María grew up in a coffee farming family, learning farm management and post harvest processing practices at a very young age. She's continued to maintain the family plot, which is her sole source of income, now with a family of her own. El Cedro is 3 hectares in size, and planted in Caturra, Chiroso, and Variedad Colombia. The coffee is dense, and can handle high heat. In the Behmor, I recommend sticking with the highest heat settings ( P1auto mode/P5 manual mode) in order to keep the roast progressing. It's a great coffee for the Poppo too, which runs quite hot by default. I found both my City and Full City roasts to be even in color, making it very easy to judge the roast level by physical appearance.",,,,,,,
