name,url,price_per_lb,total_price,bag_size,bag_type,country,region,altitude,grower,variety,process,flavor_notes,about,warehouse,position,certifications,is_staff_pick,inventory,overview_text,taste_text,source_text,word_cloud,sweetness,acidity,viscosity,balance,watchlist_match,watchlist_farm,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,watchlist_url
78 Espresso Blend,https://royalcoffee.com/product/3427097000050229453/,$6.10,$602.92,98.84 lb,Full Bag,,"East Africa, Latin America",Variety of high altitude coffees,"Varies seasonally, featuring coffee producers from East Africa, Latin America",Heirloom varieties vary by season,A blend of Full Natural and dried in the sun | Fully washed and dried in the sun,"Dried raspberry, red grapefruit, honey, malt, milk chocolate","Our custom-built classic espresso blend is made from a mix of high-altitude coffees designed to satisfy the customer with a sweet tooth. Its namesake is Royal Coffee’s birth year, 1978. Keeping a heavy and sweet profile in mind, this new blend is great all by its lonesome, but has enough flavor to saturate even the milkiest drinks with chocolaty goodness. Our quality control and trading teams started by sampling, blending, roasting, tasting, and testing eligible lots. The resulting classic espresso profile is comprised of deep and fruity African coffees and clean Latin American lots that provide huge body and ample sweetness. What’s more, we’ve done all the workshopping with you in mind, so you can rely on a consistent coffee in the roaster and in your demitasse. Here’s to your success, and to many more years of excellent coffee!",Houston,SPOT,,,7 Bags,,,,,,,,,,,,,,,
78 Espresso Blend,https://royalcoffee.com/product/3427097000052974119/,,$595.83,100.14 lb,Full Bag,,"East Africa, Latin America",Variety of high altitude coffees,"Varies seasonally, featuring coffee producers from East Africa, Latin America",Heirloom varieties vary by season,A blend of Full Natural and dried in the sun | Fully washed and dried in the sun,"Dried raspberry, red grapefruit, honey, malt, milk chocolate","Our custom-built classic espresso blend is made from a mix of high-altitude coffees designed to satisfy the customer with a sweet tooth. Its namesake is Royal Coffee’s birth year, 1978. Keeping a heavy and sweet profile in mind, this new blend is great all by its lonesome, but has enough flavor to saturate even the milkiest drinks with chocolaty goodness. Our quality control and trading teams started by sampling, blending, roasting, tasting, and testing eligible lots. The resulting classic espresso profile is comprised of deep and fruity African coffees and clean Latin American lots that provide huge body and ample sweetness. What’s more, we’ve done all the workshopping with you in mind, so you can rely on a consistent coffee in the roaster and in your demitasse. Here’s to your success, and to many more years of excellent coffee!",Oakland,SPOT,,,148 Bags,,,,,,,,,,,,,,,
Bali Kintamani Natural,https://royalcoffee.com/product/3427097000042473253/,$6.35,$838.84,132.1 lb,Full Bag,Bali,"Kintamani Highlands of Central Bali, Indonesia",1200 – 1600 masl,Producers organized through Subak Abian (SA) a traditional structure of farmer organization in upland Bali,"Bourbon, (S795 & USDA 762) Typica, and Catimor",Full natural and dried on raised beds,"Raspberry, cherry, banana, chocolate","Bali Kintamani Natural is sourced from family owned farms located in the Kintamani highlands on the island province of Bali, Indonesia.  Coffee is grown in the volcanic soils of Mount Agung along with citrus trees that provide shade and another source of income.Coffee production is typically organized around a Subak Abian, which refers to the ecologically sustainable irrigation systems developed more than 1,000 years ago by Hindu priests who practice Tri Hita Karana (the three sources of prosperity), a philosophy focused on the harmonization between the environment, humans and God.  The idea of a natural processed coffee was suggested during Royal’s origin trip in 2009 to address an issue of water scarcity.  It was an easy step to drying whole ripe cherry given that raised beds were already used for drying parchment.  The project has been fully implemented and the results have been exceptional.",Oakland,SPOT,Conventional,,65 Bags,,,,,,,,,,,,,,,
Bali Kintamani Natural,https://royalcoffee.com/product/3427097000054102489/,,$861.29,132.1 lb,Full Bag,Bali,"Kintamani Highlands of Central Bali, Indonesia",1200 – 1600 masl,Producers organized through Subak Abian (SA) a traditional structure of farmer organization in upland Bali,"Bourbon, (S795 & USDA 762) Typica, and Catimor",Full natural and dried on raised beds,"Raspberry, cherry, banana, chocolate","Bali Kintamani Natural is sourced from family owned farms located in the Kintamani highlands on the island province of Bali, Indonesia.  Coffee is grown in the volcanic soils of Mount Agung along with citrus trees that provide shade and another source of income.Coffee production is typically organized around a Subak Abian, which refers to the ecologically sustainable irrigation systems developed more than 1,000 years ago by Hindu priests who practice Tri Hita Karana (the three sources of prosperity), a philosophy focused on the harmonization between the environment, humans and God.  The idea of a natural processed coffee was suggested during Royal’s origin trip in 2009 to address an issue of water scarcity.  It was an easy step to drying whole ripe cherry given that raised beds were already used for drying parchment.  The project has been fully implemented and the results have been exceptional.",Midwest,SPOT,Conventional,,3 Bags,,,,,,,,,,,,,,,
Bali Kintamani Natural,https://royalcoffee.com/product/3427097000054530431/,,$861.29,132.1 lb,Full Bag,Bali,"Kintamani Highlands of Central Bali, Indonesia",1200 – 1600 masl,Producers organized through Subak Abian (SA) a traditional structure of farmer organization in upland Bali,"Bourbon, (S795 & USDA 762) Typica, and Catimor",Full natural and dried on raised beds,"Raspberry, cherry, banana, chocolate","Bali Kintamani Natural is sourced from family owned farms located in the Kintamani highlands on the island province of Bali, Indonesia.  Coffee is grown in the volcanic soils of Mount Agung along with citrus trees that provide shade and another source of income.Coffee production is typically organized around a Subak Abian, which refers to the ecologically sustainable irrigation systems developed more than 1,000 years ago by Hindu priests who practice Tri Hita Karana (the three sources of prosperity), a philosophy focused on the harmonization between the environment, humans and God.  The idea of a natural processed coffee was suggested during Royal’s origin trip in 2009 to address an issue of water scarcity.  It was an easy step to drying whole ripe cherry given that raised beds were already used for drying parchment.  The project has been fully implemented and the results have been exceptional.",Midwest,SPOT,Conventional,,10 Bags,,,,,,,,,,,,,,,
BOLIVIA FT-FLO ORGANIC COOP SAN JUAN,https://royalcoffee.com/product/3427097000053427988/,$5.78,$808.71,152.3 lb,Full Bag,Bolivia,"Caranavi, La Paz, Bolivia",1500 masl,33 farms organized around Cooperativa Agrícola Cafetalera San Juan,"Typica, Caturra, and Catuai",Fully washed and sun dried,,"Cooperativa Agrícola Cafetalera San Juan (San Juan) was formed in 1974 with 40 farmer members across Caranaví united in the goal of supporting small family farms and organic, chemical-free methods. The cooperative started out strong; by the mid-2000s Bolivia was hosting annual Cup of Excellence competitions and there was a high level of international development interest in the Yungas coffee sector, of which Caranaví is the center. However, productivity declined tremendously from 2006-2017 among cooperative members due to aging trees and falling investment. That year, Felix Chambi Garcia joined the organization, bringing with him over 16 years of specialty experience as a cupper and member of various other Bolivian cooperatives. Since then, the coop’s total production, overall quality, and diversity of coffees has all increased significantly. Felix sees himself as part of the younger, renewed generation of coffee lovers in Bolivia—including baristas and roasters—who are fortunate to be in a producing country with such high potential. This generation certainly believes there is a lot of ground to be covered.San Juan relies on individual farmers to process their own coffee. Felix has made quality control central to the coop’s operations, and his lab in Alto Cochabamba serves as the central control point for all lot building and exportation. Parchment lots that don’t make the minimum requirement are sold domestically, rather than marketed abroad. Harvesting goes according to a common protocol as well: coffee cherry is picked exclusively ripe, floated to sort by density, depulped on small mechanical depulpers, and fermented 18-24 hours. Once fermentation is complete the parchment is washed clean in narrow basins and sundried on raised screen beds. The cooperative is working toward installing mechanical demucilagers to better calibrate the pulping and fermentation of the various members.Bolivia is South America's only landlocked coffee producing country and is the smallest exporter of coffee on the continent. The quality of that coffee, however, is hardly lacking in diversity or beauty. Bolivia’s terrain and geography is gifted for arabica production, particularly throughout its greater Yungas region (Yungas is Aymara for ""warm lands""), whose mountain ranges connect the low and humid Amazonian basin to the dry Andean altiplano above.The most productive municipality in the Yungas is by far Caranaví, where 85-90% of Bolivia's specialty coffee has continued to thrive over the decades. Caranaví's landscape is steep, cloudy, rugged, and remote, with natural forest making up more than 90% of the territory. Coffee farms in this high and tropical climate tend to be well-managed but small, challenged by isolation and lacking in long-term industry support. Bolivian growers still often don’t have processing equipment or transportation of their own, a massive hurdle in such territory.Biodiversity, soil health, elevation, and progressive leadership in San Juan all work undeniably in favor of small farmers seeking sustainable livelihoods with coffee. Yet, facing each and every Bolivian coffee, especially the best ones, is one of the most strenuous overland transits in the coffee world, passing elevations of 4000 meters over the top of the Andes and west to the port of Arica on Chile’s coast. The country’s low production, select few producer groups in the specialty game, and formidable logistical challenges, means each successful arrival is something to be cherished.",Vancouver,SPOT,Fair Trade (FT FLO/USA) | Organic,,50 Bags,,,,,,,,,,,,,,,
BOLIVIA ORGANIC CARANAVI,https://royalcoffee.com/product/3427097000050872519/,$5.16,$856.44,152.12 lb,Full Bag,Bolivia,"Collasuyo Community, Caranavi province, La Paz Department, Bolivia",1530 masl,19 members of Cooperativa Aljiri,Catuai,"Fully washed, mechanically dried",,"Regional DetailsCoffee has been cultivated in Bolivia for hundreds of years, but now a new generation of coffee farmers dedicated to producing high-quality coffee are taking the stage in Bolivia. For the first time in the country’s history, green coffee production has funding and support from the federal government, fueling the search for knowledge among dedicated young coffee professionals.  The epicenter in the rise of Bolivian specialty coffee is in the Yungas region, where most farms were first established after a wave of migration to the region caused by Bolivia’s Agrarian Revolution in the 1950s.Processing DetailsThis particular lot comes from 19 producers who cultivate coffee in the community of Collasuyo. During the harvest, cherries are carefully harvested, sorted and floated to remove damaged and less dense beans before depulping, fermenting, washing, and drying the coffee using micro-mills located on each farm.Cooperative DetailsThe producers in Collasuyo are members of a cooperative called Aljiri, which is located in the municipality of Caranavi, in the department of La Paz.  The cooperative is structured to support small farms through investment in critical infrastructure and logistics, encompassing road enhancements, the establishment of local warehouses, and overseeing the preparation of coffee for export. This coordinated effort ensures traceability and maintains quality control.  Aljiri also provides comprehensive technical support to farmers. This encompasses guidance spanning from seed selection to coffee processing, and extends to valuable assistance in navigating the certification process.",Oakland,SPOT,Organic,,215 Bags,,,,,,,,,,,,,,,
BOLIVIA ORGANIC CARANAVI ALJIRI,https://royalcoffee.com/product/3427097000054071399/,,$880.35,152.31 lb,Full Bag,Bolivia,"Collasuyo Community, Caranavi province, La Paz Department, Bolivia",1530 masl,19 members of Cooperativa Aljiri,Catuai,"Fully washed, mechanically dried","Kiwi, grapefruit, passion fruit, melon, toffee, walnut, pine","Regional DetailsCoffee has been cultivated in Bolivia for hundreds of years, but now a new generation of coffee farmers dedicated to producing high-quality coffee are taking the stage in Bolivia. For the first time in the country’s history, green coffee production has funding and support from the federal government, fueling the search for knowledge among dedicated young coffee professionals.  The epicenter in the rise of Bolivian specialty coffee is in the Yungas region, where most farms were first established after a wave of migration to the region caused by Bolivia’s Agrarian Revolution in the 1950s.Processing DetailsThis particular lot comes from 19 producers who cultivate coffee in the community of Collasuyo. During the harvest, cherries are carefully harvested, sorted and floated to remove damaged and less dense beans before depulping, fermenting, washing, and drying the coffee using micro-mills located on each farm.Cooperative DetailsThe producers in Collasuyo are members of a cooperative called Aljiri, which is located in the municipality of Caranavi, in the department of La Paz.  The cooperative is structured to support small farms through investment in critical infrastructure and logistics, encompassing road enhancements, the establishment of local warehouses, and overseeing the preparation of coffee for export. This coordinated effort ensures traceability and maintains quality control.  Aljiri also provides comprehensive technical support to farmers. This encompasses guidance spanning from seed selection to coffee processing, and extends to valuable assistance in navigating the certification process.",Houston,SPOT,Organic,,19 Bags,,,,,,,,,,,,,,,
BOLIVIA ORGANIC CARANAVI ALJIRI,https://royalcoffee.com/product/3427097000054530575/,,$883.40,152.31 lb,Full Bag,Bolivia,"Collasuyo Community, Caranavi province, La Paz Department, Bolivia",1530 masl,19 members of Cooperativa Aljiri,Catuai,"Fully washed, mechanically dried","Kiwi, grapefruit, passion fruit, melon, toffee, walnut, pine","Regional DetailsCoffee has been cultivated in Bolivia for hundreds of years, but now a new generation of coffee farmers dedicated to producing high-quality coffee are taking the stage in Bolivia. For the first time in the country’s history, green coffee production has funding and support from the federal government, fueling the search for knowledge among dedicated young coffee professionals.  The epicenter in the rise of Bolivian specialty coffee is in the Yungas region, where most farms were first established after a wave of migration to the region caused by Bolivia’s Agrarian Revolution in the 1950s.Processing DetailsThis particular lot comes from 19 producers who cultivate coffee in the community of Collasuyo. During the harvest, cherries are carefully harvested, sorted and floated to remove damaged and less dense beans before depulping, fermenting, washing, and drying the coffee using micro-mills located on each farm.Cooperative DetailsThe producers in Collasuyo are members of a cooperative called Aljiri, which is located in the municipality of Caranavi, in the department of La Paz.  The cooperative is structured to support small farms through investment in critical infrastructure and logistics, encompassing road enhancements, the establishment of local warehouses, and overseeing the preparation of coffee for export. This coordinated effort ensures traceability and maintains quality control.  Aljiri also provides comprehensive technical support to farmers. This encompasses guidance spanning from seed selection to coffee processing, and extends to valuable assistance in navigating the certification process.",Midwest,SPOT,Organic,,10 Bags,,,,,,,,,,,,,,,
Brazil Alta Mogiana SS FC 15/16,https://royalcoffee.com/product/3427097000052393623/,$6.87,$548.96,132.28 lb,Full Bag,Brazil,Altitude,900-1200 masl,Producers organized around cooperatives in the Mogiana Region,Various,Full natural and dried in the sun and mechanical driers,,"Regional DetailsAs the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  The Mogiana region, split between the states of São Paulo and Minas Gerais, is the most renowned of three major Brazilian growing regions.  This region has rolling hills and uneven terrain lending to farms that are small to medium in size.Processing DetailsProducers typically have farms that average 70 acres in size.  Each producer cultivates and harvests their own cherries and places them on patios or mechanical driers to precisely dry to 11 percent moisture.  Coffee is carefully stored until it is time for milling and export, which all takes place at the dry mill where traceability and quality control are carefully managed so each producer can be paid according to the quality of their coffee.  This lot's preparation is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,320 Bags,,,,,,,,,,,,,,,
